,Unnamed: 0,asset,strike_pct,duration,util,mood,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
0,0,Aave,-20.0,1,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.8,2.73972602739726,[0.00065812 0.08923051 0.13714442 0.19440984 0.45030393],[-0.18548805 -0.03389978  0.01580275  0.0550408   0.11336421],[-0.06190326 -0.01367151  0.01267002  0.05157842  9.76246865],Aave_S=-20.0_D=1_M=Full History,[9.91996626e-05 7.95174513e-03 1.00000000e+02 5.41403807e-04],kelly,0.0006581241023202601,0.08923050542537399,0.13714442207053057,0.19440984351392127,0.4503039315215207,-0.18548804859324597,-0.033899778310430756,0.015802747174277543,0.05504080004034512,0.11336421075938063
1,1,Aave,-20.0,7,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.8,2.73972602739726,[0.0348562  0.13796553 0.2045253  0.27574878 0.63379053],[-0.27436916 -0.03770905  0.02682392  0.08211617  0.22743128],[-0.05616513 -0.00883975  0.01426315  0.04246146  0.2162568 ],Aave_S=-20.0_D=7_M=Full History,[1.77489733e-03 4.34635195e-01 9.89897003e+01 8.54185350e-03],kelly,0.03485619754368839,0.13796552721557276,0.20452530441996744,0.275748779888514,0.6337905317559531,-0.27436915807763507,-0.03770904626779206,0.026823920239767207,0.08211617436961277,0.22743128358997655
2,2,Aave,-20.0,14,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.8,2.73972602739726,[0.04898706 0.16643652 0.22579235 0.32490286 0.68266711],[-0.28605506 -0.04545341  0.03018891  0.10204993  0.25895275],[-0.05247901 -0.0084057   0.01465729  0.04329849  0.19974203],Aave_S=-20.0_D=14_M=Full History,[0.00418622 0.82626566 0.74199748 0.0198263 ],kelly,0.04898706424671722,0.1664365184248665,0.22579234835652606,0.3249028569463045,0.6826671115551259,-0.2860550582348025,-0.04545340740247533,0.03018890924959572,0.10204992750891345,0.25895275335857293
3,3,Aave,-20.0,30,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.8,2.73972602739726,[0.         0.14118248 0.21941261 0.32264997 0.74391838],[-0.37921622 -0.04886971  0.02936957  0.09901466  0.25051489],[-0.08412573 -0.00782524  0.01442647  0.04661352  0.18461104],Aave_S=-20.0_D=30_M=Full History,[0.00923458 0.94785245 0.79923972 0.0323872 ],kelly,0.0,0.14118247625034996,0.2194126060653604,0.32264997404039775,0.7439183847430577,-0.379216218515083,-0.04886971323772446,0.029369573295948692,0.09901466306650625,0.25051489318806563
4,4,Aave,-10.0,1,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.09352393 0.20961967 0.27400409 0.35001525 0.72658265],[-0.35011686 -0.05143187  0.01585524  0.0966023   0.32208939],[-0.07727167 -0.00903564  0.00962573  0.03418527  0.1592128 ],Aave_S=-10.0_D=1_M=Full History,[4.05918731e-04 4.08191857e-01 9.95582691e+01 2.76406320e-03],kelly,0.09352393159393257,0.20961966779989305,0.27400408613356375,0.35001525489426505,0.7265826490704055,-0.35011685667428893,-0.051431870619214864,0.015855237583415782,0.09660229714547186,0.3220893941388894
5,5,Aave,-10.0,7,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.11009333 0.24223274 0.33903201 0.44765644 0.80345992],[-0.405294   -0.06688966  0.05642738  0.15655556  0.52350842],[-0.07130137 -0.00673931  0.01891177  0.04185975  0.1522548 ],Aave_S=-10.0_D=7_M=Full History,[0.00442396 0.68851518 0.64634949 0.02634731],kelly,0.11009332740676867,0.2422327426125796,0.33903201435787267,0.44765644116286896,0.8034599216739662,-0.40529400096350754,-0.06688966354557627,0.05642738315806506,0.15655556180424562,0.5235084227588154
6,6,Aave,-10.0,14,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.05798557 0.25087341 0.33628595 0.43517341 0.81799395],[-0.44391595 -0.06668134  0.03920041  0.1471521   0.62675806],[-0.08002819 -0.0055887   0.01526758  0.03926762  0.20582057],Aave_S=-10.0_D=14_M=Full History,[0.0093251  0.80430565 0.71901769 0.04332265],kelly,0.05798556768690782,0.2508734142250988,0.3362859491701613,0.4351734149171368,0.8179939533621039,-0.4439159522717313,-0.06668134327143466,0.03920041211513681,0.1471521041591502,0.6267580560179116
7,7,Aave,-10.0,30,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.04016547 0.21930604 0.30411311 0.40723909 0.79462183],[-0.41275531 -0.06166045  0.04579586  0.13709886  0.45723879],[-0.06779395 -0.00526628  0.01696581  0.03970608  0.16653712],Aave_S=-10.0_D=30_M=Full History,[0.01737817 0.84656261 0.73015855 0.06400524],kelly,0.040165470054968844,0.219306043337619,0.3041131116752567,0.4072390878512997,0.7946218252938957,-0.4127553098789106,-0.06166045026485989,0.045795863291675065,0.13709885567398855,0.45723879203878326
8,8,Aave,0.0,1,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.22393189 0.3978904  0.50165165 0.60605146 0.86652792],[-0.4892224  -0.08248729  0.08356228  0.28061956  1.07686236],[-0.0698127   0.00042955  0.02138177  0.04367388  0.11376149],Aave_S=0.0_D=1_M=Full History,[1.88854693e-03 2.88627816e-01 9.95437842e+01 2.58202962e-02],kelly,0.2239318912264712,0.3978904007361122,0.5016516453698876,0.6060514638558315,0.8665279161920139,-0.4892224031823268,-0.08248728643316314,0.08356228044510239,0.28061956366216073,1.0768623607032417
9,9,Aave,0.0,7,0.5,Full History,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.11662056 0.33448499 0.42574166 0.52120238 0.91930362],[-0.58968285 -0.05429113  0.08963335  0.25428797  1.00213029],[-0.08466676  0.00210295  0.02272178  0.04649226  0.15747338],Aave_S=0.0_D=7_M=Full History,[0.0092704  0.66879873 0.65083858 0.0550209 ],kelly,0.11662056424860352,0.33448499206929766,0.42574166096202726,0.5212023799413315,0.9193036184144028,-0.5896828480723324,-0.05429113256754281,0.08963335328106092,0.25428797249444246,1.0021302905369445
