,Unnamed: 0,asset,strike_pct,duration,util,mood,option_type,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
0,0,Aave,-10.0,1,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.07528105 0.20031622 0.26635227 0.35464082 0.6901954 ],[-0.27154111 -0.04546782  0.02669985  0.09832597  0.36130025],[-0.06033321 -0.00688279  0.01289618  0.03645168  0.18137005],Aave_put_S=-10.0_D=1_M=Full History,[4.06250037e-04 4.04266381e-01 9.95570189e+01 2.76370838e-03],kelly,0.07528105052530673,0.20031622151627565,0.2663522731486523,0.35464081921596474,0.6901954005134521,-0.2715411093518536,-0.04546781757959839,0.026699851484825676,0.09832597208550431,0.36130025162934265
1,1,Aave,-10.0,1,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.37793573 0.59549191 0.68053587 0.78708102 0.98253058],[-0.74274285  0.041834    0.38955823  0.96736755  3.9186581 ],[-0.06531643  0.02390912  0.04296429  0.06673789  0.12850822],Aave_call_S=-10.0_D=1_M=Full History,[0.00667697 0.39678508 0.61694953 0.12318732],kelly,0.3779357265347331,0.5954919072830777,0.6805358747294316,0.7870810239994522,0.982530581295625,-0.7427428539714904,0.04183399935844617,0.3895582293135801,0.9673675488815359,3.9186580994962616
2,2,Aave,-10.0,7,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.10007155 0.24483753 0.32006344 0.40815612 0.73114135],[-0.36132681 -0.06084697  0.02282673  0.12627234  0.43096145],[-0.07280279 -0.00801381  0.01149749  0.03718156  0.13570964],Aave_put_S=-10.0_D=7_M=Full History,[0.00378027 0.64248047 0.6379201  0.02549268],kelly,0.10007154689195495,0.2448375319471496,0.3200634385719833,0.40815611882534986,0.7311413450479747,-0.36132681077330364,-0.0608469684165934,0.022826734628995315,0.12627234261818632,0.4309614497872556
3,3,Aave,-10.0,7,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.3015346  0.59471969 0.69737814 0.81436708 0.97701222],[-0.72191328  0.15187377  0.64960783  1.52506736  8.94040139],[-0.03666017  0.03568039  0.05631309  0.0849811   0.17777736],Aave_call_S=-10.0_D=7_M=Full History,[ 0.071208    1.80605271 11.23688024  0.21920438],kelly,0.3015345969212739,0.5947196909731711,0.6973781441806577,0.8143670847389175,0.9770122182435983,-0.7219132828274799,0.15187377035138883,0.6496078297528708,1.5250673589459258,8.94040139224057
4,4,Aave,-10.0,14,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.09663668 0.26163316 0.34324164 0.45245517 0.7782402 ],[-0.39396527 -0.06038688  0.05731943  0.15534626  0.58501626],[-0.06174792 -0.00415302  0.01897073  0.04032509  0.17404233],Aave_put_S=-10.0_D=14_M=Full History,[0.0096449  0.78187    0.679228   0.04326308],kelly,0.09663667815395467,0.2616331616242838,0.3432416366018963,0.45245516702358124,0.7782402042801727,-0.39396526506083596,-0.06038688405045006,0.05731942824632952,0.15534626337963847,0.5850162570409128
5,5,Aave,-10.0,14,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,0.9,2.73972602739726,[0.24844375 0.58897902 0.71436665 0.91695159 7.96789   ],[nan nan nan nan nan],[-0.02843803  0.04556674  0.06789181  0.09444063  0.17719903],Aave_call_S=-10.0_D=14_M=Full History,[1.75625243e-01 2.55390397e-08 1.00000000e+02 3.08562807e-01],kelly,0.24844374519465526,0.5889790218235577,0.7143666495187115,0.9169515920750968,7.967890002895304,,,,,
6,6,Aave,0.0,1,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.19829818 0.39982171 0.48409225 0.59880867 0.85756208],[-0.46508881 -0.09148094  0.08685968  0.26603925  1.71329861],[-0.06444696 -0.00120736  0.02188167  0.04286277  0.17223941],Aave_put_S=0.0_D=1_M=Full History,[1.88592479e-03 2.99425565e-01 9.47940308e+01 2.58217672e-02],kelly,0.19829818342318345,0.3998217107118919,0.4840922453277201,0.5988086686243256,0.8575620821788253,-0.4650888113548146,-0.09148094305816229,0.08685968085467066,0.2660392486528136,1.7132986119668057
7,7,Aave,0.0,1,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.26896072 0.45015007 0.55163308 0.66582846 0.93810007],[-0.60218975 -0.052366    0.16979122  0.42018728  1.95722165],[-0.07152032  0.00820171  0.03002634  0.05102794  0.13857632],Aave_call_S=0.0_D=1_M=Full History,[2.99843274e-03 3.01917817e-01 9.99847623e+01 3.41986955e-02],kelly,0.2689607159604433,0.450150069307641,0.5516330845143627,0.6658284568771906,0.9381000669440941,-0.6021897479120317,-0.0523660005399694,0.16979122071086605,0.4201872769088032,1.957221654817495
8,8,Aave,0.0,7,0.5,Full History,put,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.17304029 0.35091065 0.43956269 0.54767196 0.89074137],[-0.51239081 -0.06826399  0.08668871  0.24338563  1.02189191],"[-6.78879076e-02 -1.14146452e-04  2.21128657e-02  4.20297340e-02
  1.30725080e-01]",Aave_put_S=0.0_D=7_M=Full History,[0.01003435 0.63099327 0.63168649 0.06403545],kelly,0.17304029194084222,0.3509106543259962,0.4395626907831034,0.547671959793639,0.8907413653483128,-0.5123908120664696,-0.06826399412366563,0.0866887124184682,0.24338562914573864,1.0218919056335882
9,9,Aave,0.0,7,0.5,Full History,call,2020-10-14,2021-10-31,2020-10-14,2021-10-31,1.0,2.73972602739726,[0.27785532 0.5129816  0.62882886 0.7344958  0.95787394],[-0.57051635  0.01193259  0.27848048  0.64613052  2.35217642],[-0.04286845  0.02007974  0.03901319  0.0615572   0.14474165],Aave_call_S=0.0_D=7_M=Full History,[0.0283265  1.351632   1.13587676 0.11997059],kelly,0.277855316476064,0.5129816031883071,0.628828859909301,0.7344958038753946,0.9578739384445499,-0.5705163491341316,0.011932585674444829,0.27848047695384526,0.6461305224375167,2.352176420216613
