,asset,strike_pct,duration,util,mood,train_start_date,train_end_date
0,Aave,-20.0,1,0.5,Full History,2020-10-14,2021-10-31
1,Aave,-20.0,7,0.5,Full History,2020-10-14,2021-10-31
2,Aave,-20.0,14,0.5,Full History,2020-10-14,2021-10-31
3,Aave,-20.0,30,0.5,Full History,2020-10-14,2021-10-31
4,Aave,-10.0,1,0.5,Full History,2020-10-14,2021-10-31
5,Aave,-10.0,7,0.5,Full History,2020-10-14,2021-10-31
6,Aave,-10.0,14,0.5,Full History,2020-10-14,2021-10-31
7,Aave,-10.0,30,0.5,Full History,2020-10-14,2021-10-31
8,Aave,0.0,1,0.5,Full History,2020-10-14,2021-10-31
9,Aave,0.0,7,0.5,Full History,2020-10-14,2021-10-31
10,Aave,0.0,14,0.5,Full History,2020-10-14,2021-10-31
11,Aave,0.0,30,0.5,Full History,2020-10-14,2021-10-31
12,Aave,10.0,1,0.5,Full History,2020-10-14,2021-10-31
13,Aave,10.0,7,0.5,Full History,2020-10-14,2021-10-31
14,Aave,10.0,14,0.5,Full History,2020-10-14,2021-10-31
15,Aave,10.0,30,0.5,Full History,2020-10-14,2021-10-31
16,Aave,20.0,1,0.5,Full History,2020-10-14,2021-10-31
17,Aave,20.0,7,0.5,Full History,2020-10-14,2021-10-31
18,Aave,20.0,14,0.5,Full History,2020-10-14,2021-10-31
19,Aave,20.0,30,0.5,Full History,2020-10-14,2021-10-31
20,Bitcoin,-20.0,1,0.5,Full History,2017-01-02,2021-10-31
21,Bitcoin,-20.0,7,0.5,Full History,2017-01-02,2021-10-31
22,Bitcoin,-20.0,14,0.5,Full History,2017-01-02,2021-10-31
23,Bitcoin,-20.0,30,0.5,Full History,2017-01-02,2021-10-31
24,Bitcoin,-10.0,1,0.5,Full History,2017-01-02,2021-10-31
25,Bitcoin,-10.0,7,0.5,Full History,2017-01-02,2021-10-31
26,Bitcoin,-10.0,14,0.5,Full History,2017-01-02,2021-10-31
27,Bitcoin,-10.0,30,0.5,Full History,2017-01-02,2021-10-31
28,Bitcoin,0.0,1,0.5,Full History,2017-01-02,2021-10-31
29,Bitcoin,0.0,7,0.5,Full History,2017-01-02,2021-10-31
30,Bitcoin,0.0,14,0.5,Full History,2017-01-02,2021-10-31
31,Bitcoin,0.0,30,0.5,Full History,2017-01-02,2021-10-31
32,Bitcoin,10.0,1,0.5,Full History,2017-01-02,2021-10-31
33,Bitcoin,10.0,7,0.5,Full History,2017-01-02,2021-10-31
34,Bitcoin,10.0,14,0.5,Full History,2017-01-02,2021-10-31
35,Bitcoin,10.0,30,0.5,Full History,2017-01-02,2021-10-31
36,Bitcoin,20.0,1,0.5,Full History,2017-01-02,2021-10-31
37,Bitcoin,20.0,7,0.5,Full History,2017-01-02,2021-10-31
38,Bitcoin,20.0,14,0.5,Full History,2017-01-02,2021-10-31
39,Bitcoin,20.0,30,0.5,Full History,2017-01-02,2021-10-31
40,Binance Coin,-20.0,1,0.5,Full History,2017-08-14,2021-10-31
41,Binance Coin,-20.0,7,0.5,Full History,2017-08-14,2021-10-31
42,Binance Coin,-20.0,14,0.5,Full History,2017-08-14,2021-10-31
43,Binance Coin,-20.0,30,0.5,Full History,2017-08-14,2021-10-31
44,Binance Coin,-10.0,1,0.5,Full History,2017-08-14,2021-10-31
45,Binance Coin,-10.0,7,0.5,Full History,2017-08-14,2021-10-31
46,Binance Coin,-10.0,14,0.5,Full History,2017-08-14,2021-10-31
47,Binance Coin,-10.0,30,0.5,Full History,2017-08-14,2021-10-31
48,Binance Coin,0.0,1,0.5,Full History,2017-08-14,2021-10-31
49,Binance Coin,0.0,7,0.5,Full History,2017-08-14,2021-10-31
50,Binance Coin,0.0,14,0.5,Full History,2017-08-14,2021-10-31
51,Binance Coin,0.0,30,0.5,Full History,2017-08-14,2021-10-31
52,Binance Coin,10.0,1,0.5,Full History,2017-08-14,2021-10-31
53,Binance Coin,10.0,7,0.5,Full History,2017-08-14,2021-10-31
54,Binance Coin,10.0,14,0.5,Full History,2017-08-14,2021-10-31
55,Binance Coin,10.0,30,0.5,Full History,2017-08-14,2021-10-31
56,Binance Coin,20.0,1,0.5,Full History,2017-08-14,2021-10-31
57,Binance Coin,20.0,7,0.5,Full History,2017-08-14,2021-10-31
58,Binance Coin,20.0,14,0.5,Full History,2017-08-14,2021-10-31
59,Binance Coin,20.0,30,0.5,Full History,2017-08-14,2021-10-31
60,Cardano,-20.0,1,0.5,Full History,2017-10-01,2021-10-31
61,Cardano,-20.0,7,0.5,Full History,2017-10-01,2021-10-31
62,Cardano,-20.0,14,0.5,Full History,2017-10-01,2021-10-31
63,Cardano,-20.0,30,0.5,Full History,2017-10-01,2021-10-31
64,Cardano,-10.0,1,0.5,Full History,2017-10-01,2021-10-31
65,Cardano,-10.0,7,0.5,Full History,2017-10-01,2021-10-31
66,Cardano,-10.0,14,0.5,Full History,2017-10-01,2021-10-31
67,Cardano,-10.0,30,0.5,Full History,2017-10-01,2021-10-31
68,Cardano,0.0,1,0.5,Full History,2017-10-01,2021-10-31
69,Cardano,0.0,7,0.5,Full History,2017-10-01,2021-10-31
70,Cardano,0.0,14,0.5,Full History,2017-10-01,2021-10-31
71,Cardano,0.0,30,0.5,Full History,2017-10-01,2021-10-31
72,Cardano,10.0,1,0.5,Full History,2017-10-01,2021-10-31
73,Cardano,10.0,7,0.5,Full History,2017-10-01,2021-10-31
74,Cardano,10.0,14,0.5,Full History,2017-10-01,2021-10-31
75,Cardano,10.0,30,0.5,Full History,2017-10-01,2021-10-31
76,Cardano,20.0,1,0.5,Full History,2017-10-01,2021-10-31
77,Cardano,20.0,7,0.5,Full History,2017-10-01,2021-10-31
78,Cardano,20.0,14,0.5,Full History,2017-10-01,2021-10-31
79,Cardano,20.0,30,0.5,Full History,2017-10-01,2021-10-31
80,Chainlink,-20.0,1,0.5,Full History,2017-09-21,2021-10-31
81,Chainlink,-20.0,7,0.5,Full History,2017-09-21,2021-10-31
82,Chainlink,-20.0,14,0.5,Full History,2017-09-21,2021-10-31
