,asset,strike_pct,duration,util,mood,option_type,train_start_date,train_end_date
0,Brent Oil,-20.0,1,0.5,bear,put,2019-04-02,2020-04-01
1,Brent Oil,-20.0,1,0.5,bull,put,2020-04-21,2021-04-21
2,Brent Oil,-20.0,7,0.5,bear,put,2019-04-02,2020-04-01
3,Brent Oil,-20.0,7,0.5,bull,put,2020-04-21,2021-04-21
4,Brent Oil,-20.0,14,0.5,bear,put,2019-04-02,2020-04-01
5,Brent Oil,-20.0,14,0.5,bull,put,2020-04-21,2021-04-21
6,Brent Oil,-20.0,30,0.5,bear,put,2019-04-02,2020-04-01
7,Brent Oil,-20.0,30,0.5,bull,put,2020-04-21,2021-04-21
8,Brent Oil,-10.0,1,0.5,bear,put,2019-04-02,2020-04-01
9,Brent Oil,-10.0,1,0.5,bull,put,2020-04-21,2021-04-21
10,Brent Oil,-10.0,7,0.5,bear,put,2019-04-02,2020-04-01
11,Brent Oil,-10.0,7,0.5,bull,put,2020-04-21,2021-04-21
12,Brent Oil,-10.0,14,0.5,bear,put,2019-04-02,2020-04-01
13,Brent Oil,-10.0,14,0.5,bull,put,2020-04-21,2021-04-21
14,Brent Oil,-10.0,30,0.5,bear,put,2019-04-02,2020-04-01
15,Brent Oil,-10.0,30,0.5,bull,put,2020-04-21,2021-04-21
16,Brent Oil,0.0,1,0.5,bear,put,2019-04-02,2020-04-01
17,Brent Oil,0.0,1,0.5,bull,put,2020-04-21,2021-04-21
18,Brent Oil,0.0,7,0.5,bear,put,2019-04-02,2020-04-01
19,Brent Oil,0.0,7,0.5,bull,put,2020-04-21,2021-04-21
20,Brent Oil,0.0,14,0.5,bear,put,2019-04-02,2020-04-01
21,Brent Oil,0.0,14,0.5,bull,put,2020-04-21,2021-04-21
22,Brent Oil,0.0,30,0.5,bear,put,2019-04-02,2020-04-01
23,Brent Oil,0.0,30,0.5,bull,put,2020-04-21,2021-04-21
24,Brent Oil,10.0,1,0.5,bear,put,2019-04-02,2020-04-01
25,Brent Oil,10.0,1,0.5,bull,put,2020-04-21,2021-04-21
26,Brent Oil,10.0,7,0.5,bear,put,2019-04-02,2020-04-01
27,Brent Oil,10.0,7,0.5,bull,put,2020-04-21,2021-04-21
28,Brent Oil,10.0,14,0.5,bear,put,2019-04-02,2020-04-01
29,Brent Oil,10.0,14,0.5,bull,put,2020-04-21,2021-04-21
30,Brent Oil,10.0,30,0.5,bear,put,2019-04-02,2020-04-01
31,Brent Oil,10.0,30,0.5,bull,put,2020-04-21,2021-04-21
32,Brent Oil,20.0,1,0.5,bear,put,2019-04-02,2020-04-01
33,Brent Oil,20.0,1,0.5,bull,put,2020-04-21,2021-04-21
34,Brent Oil,20.0,7,0.5,bear,put,2019-04-02,2020-04-01
35,Brent Oil,20.0,7,0.5,bull,put,2020-04-21,2021-04-21
36,Brent Oil,20.0,14,0.5,bear,put,2019-04-02,2020-04-01
37,Brent Oil,20.0,14,0.5,bull,put,2020-04-21,2021-04-21
38,Brent Oil,20.0,30,0.5,bear,put,2019-04-02,2020-04-01
39,Brent Oil,20.0,30,0.5,bull,put,2020-04-21,2021-04-21
40,Bitcoin,-20.0,1,0.5,bear,put,2017-12-16,2018-12-16
41,Bitcoin,-20.0,1,0.5,bull,put,2020-03-14,2021-03-14
42,Bitcoin,-20.0,7,0.5,bear,put,2017-12-16,2018-12-16
43,Bitcoin,-20.0,7,0.5,bull,put,2020-03-14,2021-03-14
44,Bitcoin,-20.0,14,0.5,bear,put,2017-12-16,2018-12-16
45,Bitcoin,-20.0,14,0.5,bull,put,2020-03-14,2021-03-14
46,Bitcoin,-20.0,30,0.5,bear,put,2017-12-16,2018-12-16
47,Bitcoin,-20.0,30,0.5,bull,put,2020-03-14,2021-03-14
48,Bitcoin,-10.0,1,0.5,bear,put,2017-12-16,2018-12-16
49,Bitcoin,-10.0,1,0.5,bull,put,2020-03-14,2021-03-14
50,Bitcoin,-10.0,7,0.5,bear,put,2017-12-16,2018-12-16
51,Bitcoin,-10.0,7,0.5,bull,put,2020-03-14,2021-03-14
52,Bitcoin,-10.0,14,0.5,bear,put,2017-12-16,2018-12-16
53,Bitcoin,-10.0,14,0.5,bull,put,2020-03-14,2021-03-14
54,Bitcoin,-10.0,30,0.5,bear,put,2017-12-16,2018-12-16
55,Bitcoin,-10.0,30,0.5,bull,put,2020-03-14,2021-03-14
56,Bitcoin,0.0,1,0.5,bear,put,2017-12-16,2018-12-16
57,Bitcoin,0.0,1,0.5,bull,put,2020-03-14,2021-03-14
58,Bitcoin,0.0,7,0.5,bear,put,2017-12-16,2018-12-16
59,Bitcoin,0.0,7,0.5,bull,put,2020-03-14,2021-03-14
60,Bitcoin,0.0,14,0.5,bear,put,2017-12-16,2018-12-16
61,Bitcoin,0.0,14,0.5,bull,put,2020-03-14,2021-03-14
62,Bitcoin,0.0,30,0.5,bear,put,2017-12-16,2018-12-16
63,Bitcoin,0.0,30,0.5,bull,put,2020-03-14,2021-03-14
64,Bitcoin,10.0,1,0.5,bear,put,2017-12-16,2018-12-16
65,Bitcoin,10.0,1,0.5,bull,put,2020-03-14,2021-03-14
66,Bitcoin,10.0,7,0.5,bear,put,2017-12-16,2018-12-16
67,Bitcoin,10.0,7,0.5,bull,put,2020-03-14,2021-03-14
68,Bitcoin,10.0,14,0.5,bear,put,2017-12-16,2018-12-16
69,Bitcoin,10.0,14,0.5,bull,put,2020-03-14,2021-03-14
70,Bitcoin,10.0,30,0.5,bear,put,2017-12-16,2018-12-16
71,Bitcoin,10.0,30,0.5,bull,put,2020-03-14,2021-03-14
72,Bitcoin,20.0,1,0.5,bear,put,2017-12-16,2018-12-16
73,Bitcoin,20.0,1,0.5,bull,put,2020-03-14,2021-03-14
74,Bitcoin,20.0,7,0.5,bear,put,2017-12-16,2018-12-16
75,Bitcoin,20.0,7,0.5,bull,put,2020-03-14,2021-03-14
76,Bitcoin,20.0,14,0.5,bear,put,2017-12-16,2018-12-16
77,Bitcoin,20.0,14,0.5,bull,put,2020-03-14,2021-03-14
78,Bitcoin,20.0,30,0.5,bear,put,2017-12-16,2018-12-16
79,Bitcoin,20.0,30,0.5,bull,put,2020-03-14,2021-03-14
80,Cardano,-20.0,1,0.5,bear,put,2018-01-04,2019-01-04
81,Cardano,-20.0,1,0.5,bull,put,2020-03-18,2021-03-18
82,Cardano,-20.0,7,0.5,bear,put,2018-01-04,2019-01-04
83,Cardano,-20.0,7,0.5,bull,put,2020-03-18,2021-03-18
84,Cardano,-20.0,14,0.5,bear,put,2018-01-04,2019-01-04
85,Cardano,-20.0,14,0.5,bull,put,2020-03-18,2021-03-18
86,Cardano,-20.0,30,0.5,bear,put,2018-01-04,2019-01-04
87,Cardano,-20.0,30,0.5,bull,put,2020-03-18,2021-03-18
88,Cardano,-10.0,1,0.5,bear,put,2018-01-04,2019-01-04
89,Cardano,-10.0,1,0.5,bull,put,2020-03-18,2021-03-18
90,Cardano,-10.0,7,0.5,bear,put,2018-01-04,2019-01-04
91,Cardano,-10.0,7,0.5,bull,put,2020-03-18,2021-03-18
92,Cardano,-10.0,14,0.5,bear,put,2018-01-04,2019-01-04
93,Cardano,-10.0,14,0.5,bull,put,2020-03-18,2021-03-18
94,Cardano,-10.0,30,0.5,bear,put,2018-01-04,2019-01-04
95,Cardano,-10.0,30,0.5,bull,put,2020-03-18,2021-03-18
96,Cardano,0.0,1,0.5,bear,put,2018-01-04,2019-01-04
97,Cardano,0.0,1,0.5,bull,put,2020-03-18,2021-03-18
98,Cardano,0.0,7,0.5,bear,put,2018-01-04,2019-01-04
99,Cardano,0.0,7,0.5,bull,put,2020-03-18,2021-03-18
100,Cardano,0.0,14,0.5,bear,put,2018-01-04,2019-01-04
101,Cardano,0.0,14,0.5,bull,put,2020-03-18,2021-03-18
102,Cardano,0.0,30,0.5,bear,put,2018-01-04,2019-01-04
103,Cardano,0.0,30,0.5,bull,put,2020-03-18,2021-03-18
104,Cardano,10.0,1,0.5,bear,put,2018-01-04,2019-01-04
105,Cardano,10.0,1,0.5,bull,put,2020-03-18,2021-03-18
106,Cardano,10.0,7,0.5,bear,put,2018-01-04,2019-01-04
107,Cardano,10.0,7,0.5,bull,put,2020-03-18,2021-03-18
108,Cardano,10.0,14,0.5,bear,put,2018-01-04,2019-01-04
109,Cardano,10.0,14,0.5,bull,put,2020-03-18,2021-03-18
110,Cardano,10.0,30,0.5,bear,put,2018-01-04,2019-01-04
111,Cardano,10.0,30,0.5,bull,put,2020-03-18,2021-03-18
112,Cardano,20.0,1,0.5,bear,put,2018-01-04,2019-01-04
113,Cardano,20.0,1,0.5,bull,put,2020-03-18,2021-03-18
114,Cardano,20.0,7,0.5,bear,put,2018-01-04,2019-01-04
115,Cardano,20.0,7,0.5,bull,put,2020-03-18,2021-03-18
116,Cardano,20.0,14,0.5,bear,put,2018-01-04,2019-01-04
117,Cardano,20.0,14,0.5,bull,put,2020-03-18,2021-03-18
118,Cardano,20.0,30,0.5,bear,put,2018-01-04,2019-01-04
119,Cardano,20.0,30,0.5,bull,put,2020-03-18,2021-03-18
120,EOS,-20.0,1,0.5,bear,put,2018-04-29,2019-04-29
121,EOS,-20.0,1,0.5,bull,put,2017-10-23,2018-10-23
122,EOS,-20.0,7,0.5,bear,put,2018-04-29,2019-04-29
123,EOS,-20.0,7,0.5,bull,put,2017-10-23,2018-10-23
124,EOS,-20.0,14,0.5,bear,put,2018-04-29,2019-04-29
125,EOS,-20.0,14,0.5,bull,put,2017-10-23,2018-10-23
