,asset,strike_pct,duration,util,mood,train_start_date,train_end_date
0,Bitcoin,-20.0,1,0.5,Full History,2017-01-02,2021-10-31
1,Bitcoin,-20.0,1,0.5,bear,2017-12-16,2018-12-16
2,Bitcoin,-20.0,1,0.5,bull,2020-03-14,2021-03-14
3,Bitcoin,-20.0,7,0.5,Full History,2017-01-02,2021-10-31
4,Bitcoin,-20.0,7,0.5,bear,2017-12-16,2018-12-16
5,Bitcoin,-20.0,7,0.5,bull,2020-03-14,2021-03-14
6,Bitcoin,0.0,1,0.5,Full History,2017-01-02,2021-10-31
7,Bitcoin,0.0,1,0.5,bear,2017-12-16,2018-12-16
8,Bitcoin,0.0,1,0.5,bull,2020-03-14,2021-03-14
9,Bitcoin,0.0,7,0.5,Full History,2017-01-02,2021-10-31
10,Bitcoin,0.0,7,0.5,bear,2017-12-16,2018-12-16
11,Bitcoin,0.0,7,0.5,bull,2020-03-14,2021-03-14
12,Bitcoin,20.0,1,0.5,Full History,2017-01-02,2021-10-31
13,Bitcoin,20.0,1,0.5,bear,2017-12-16,2018-12-16
14,Bitcoin,20.0,1,0.5,bull,2020-03-14,2021-03-14
15,Bitcoin,20.0,7,0.5,Full History,2017-01-02,2021-10-31
16,Bitcoin,20.0,7,0.5,bear,2017-12-16,2018-12-16
17,Bitcoin,20.0,7,0.5,bull,2020-03-14,2021-03-14
18,Cardano,-20.0,1,0.5,Full History,2017-10-01,2021-10-31
19,Cardano,-20.0,1,0.5,bear,2018-01-04,2019-01-04
20,Cardano,-20.0,1,0.5,bull,2020-03-18,2021-03-18
21,Cardano,-20.0,7,0.5,Full History,2017-10-01,2021-10-31
22,Cardano,-20.0,7,0.5,bear,2018-01-04,2019-01-04
23,Cardano,-20.0,7,0.5,bull,2020-03-18,2021-03-18
24,Cardano,0.0,1,0.5,Full History,2017-10-01,2021-10-31
25,Cardano,0.0,1,0.5,bear,2018-01-04,2019-01-04
26,Cardano,0.0,1,0.5,bull,2020-03-18,2021-03-18
27,Cardano,0.0,7,0.5,Full History,2017-10-01,2021-10-31
28,Cardano,0.0,7,0.5,bear,2018-01-04,2019-01-04
29,Cardano,0.0,7,0.5,bull,2020-03-18,2021-03-18
30,Cardano,20.0,1,0.5,Full History,2017-10-01,2021-10-31
31,Cardano,20.0,1,0.5,bear,2018-01-04,2019-01-04
32,Cardano,20.0,1,0.5,bull,2020-03-18,2021-03-18
33,Cardano,20.0,7,0.5,Full History,2017-10-01,2021-10-31
34,Cardano,20.0,7,0.5,bear,2018-01-04,2019-01-04
35,Cardano,20.0,7,0.5,bull,2020-03-18,2021-03-18
36,Ethereum,-20.0,1,0.5,Full History,2017-01-02,2021-10-31
37,Ethereum,-20.0,1,0.5,bear,2018-01-29,2019-01-29
38,Ethereum,-20.0,1,0.5,bull,2020-05-12,2021-05-12
39,Ethereum,-20.0,7,0.5,Full History,2017-01-02,2021-10-31
40,Ethereum,-20.0,7,0.5,bear,2018-01-29,2019-01-29
41,Ethereum,-20.0,7,0.5,bull,2020-05-12,2021-05-12
42,Ethereum,0.0,1,0.5,Full History,2017-01-02,2021-10-31
43,Ethereum,0.0,1,0.5,bear,2018-01-29,2019-01-29
44,Ethereum,0.0,1,0.5,bull,2020-05-12,2021-05-12
45,Ethereum,0.0,7,0.5,Full History,2017-01-02,2021-10-31
46,Ethereum,0.0,7,0.5,bear,2018-01-29,2019-01-29
47,Ethereum,0.0,7,0.5,bull,2020-05-12,2021-05-12
48,Ethereum,20.0,1,0.5,Full History,2017-01-02,2021-10-31
49,Ethereum,20.0,1,0.5,bear,2018-01-29,2019-01-29
50,Ethereum,20.0,1,0.5,bull,2020-05-12,2021-05-12
51,Ethereum,20.0,7,0.5,Full History,2017-01-02,2021-10-31
52,Ethereum,20.0,7,0.5,bear,2018-01-29,2019-01-29
53,Ethereum,20.0,7,0.5,bull,2020-05-12,2021-05-12
54,IOTA,-20.0,1,0.5,Full History,2017-06-13,2021-10-31
55,IOTA,-20.0,1,0.5,bear,2017-12-08,2018-12-08
56,IOTA,-20.0,1,0.5,bull,2020-04-17,2021-04-17
57,IOTA,-20.0,7,0.5,Full History,2017-06-13,2021-10-31
58,IOTA,-20.0,7,0.5,bear,2017-12-08,2018-12-08
59,IOTA,-20.0,7,0.5,bull,2020-04-17,2021-04-17
60,IOTA,0.0,1,0.5,Full History,2017-06-13,2021-10-31
61,IOTA,0.0,1,0.5,bear,2017-12-08,2018-12-08
62,IOTA,0.0,1,0.5,bull,2020-04-17,2021-04-17
63,IOTA,0.0,7,0.5,Full History,2017-06-13,2021-10-31
64,IOTA,0.0,7,0.5,bear,2017-12-08,2018-12-08
65,IOTA,0.0,7,0.5,bull,2020-04-17,2021-04-17
66,IOTA,20.0,1,0.5,Full History,2017-06-13,2021-10-31
67,IOTA,20.0,1,0.5,bear,2017-12-08,2018-12-08
68,IOTA,20.0,1,0.5,bull,2020-04-17,2021-04-17
69,IOTA,20.0,7,0.5,Full History,2017-06-13,2021-10-31
70,IOTA,20.0,7,0.5,bear,2017-12-08,2018-12-08
71,IOTA,20.0,7,0.5,bull,2020-04-17,2021-04-17
