Asset,TrainingLabel,TrainingStart,TrainingEnd,StrikePct,Expiration,CurrentPrice
ethereum,full,08/08/2015,27/02/2021,0.9,1,3949.5
ethereum,full,08/08/2015,27/02/2021,1.0,1,3949.5
ethereum,full,08/08/2015,27/02/2021,1.1,1,3949.5
bitcoin,full,08/08/2015,27/02/2021,0.9,1,47587.3
bitcoin,full,08/08/2015,27/02/2021,1.0,1,47587.3
bitcoin,full,08/08/2015,27/02/2021,1.1,1,47587.3
ethereum,full,08/08/2015,27/02/2021,0.9,7,3949.5
ethereum,full,08/08/2015,27/02/2021,1.0,7,3949.5
ethereum,full,08/08/2015,27/02/2021,1.1,7,3949.5
bitcoin,full,08/08/2015,27/02/2021,0.9,7,47587.3
bitcoin,full,08/08/2015,27/02/2021,1.0,7,47587.3
bitcoin,full,08/08/2015,27/02/2021,1.1,7,47587.3
ethereum,full,08/08/2015,27/02/2021,0.9,14,3949.5
ethereum,full,08/08/2015,27/02/2021,1.0,14,3949.5
ethereum,full,08/08/2015,27/02/2021,1.1,14,3949.5
bitcoin,full,08/08/2015,27/02/2021,0.9,14,47587.3
bitcoin,full,08/08/2015,27/02/2021,1.0,14,47587.3
bitcoin,full,08/08/2015,27/02/2021,1.1,14,47587.3
