Asset,TrainingLabel,TrainingStart,TrainingEnd,StrikePct,Expiration,CurrentPrice
yearn-finance,bull,20/07/2020,04/09/2021,1.35,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.35,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.35,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.25,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.25,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.25,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.2,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.2,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.2,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.1,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.1,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.1,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.0,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.0,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.0,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.9,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.9,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.9,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.8,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.8,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.8,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.75,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.75,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.75,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.65,1,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.65,1,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.65,1,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.35,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.35,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.35,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.25,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.25,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.25,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.2,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.2,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.2,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.1,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.1,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.1,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.0,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.0,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.0,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.9,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.9,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.9,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.8,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.8,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.8,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.75,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.75,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.75,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.65,3,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.65,3,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.65,3,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.35,7,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.35,7,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.35,7,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.25,7,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.25,7,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.25,7,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.2,7,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.2,7,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.2,7,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.1,7,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.1,7,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.1,7,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,1.0,7,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,1.0,7,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,1.0,7,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.9,7,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.9,7,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.9,7,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.8,7,39095.17313
yearn-finance,bear,12/02/2021,01/01/2022,0.8,7,39095.17313
yearn-finance,full,18/07/2020,03/01/2022,0.8,7,39095.17313
yearn-finance,bull,20/07/2020,04/09/2021,0.75,7,39095.17313
