Master calendar,cardano,avalanche-2,axie-infinity,badger-dao,balancer,binancecoin,bancor,bitcoin,chiliz,compound-governance-token,curve-dao-token,convex-finance,derivadao,dogecoin,polkadot,dydx,enjincoin,ethereum,instadapp,liquity,terra-luna,decentraland,maker,nxm,republic-protocol,rari-governance-token,the-sandbox,havven,solana,sushi,truefi,uma,uniswap,ripple,yearn-finance
28/04/2013,,,,,,,,135.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2013,,,,,,,,141.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2013,,,,,,,,135.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2013,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2013,,,,,,,,103.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2013,,,,,,,,91.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2013,,,,,,,,111.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2013,,,,,,,,116.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2013,,,,,,,,118.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2013,,,,,,,,106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2013,,,,,,,,112.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2013,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2013,,,,,,,,118.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2013,,,,,,,,113.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2013,,,,,,,,114.713,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2013,,,,,,,,117.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2013,,,,,,,,114.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/05/2013,,,,,,,,114.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2013,,,,,,,,115.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2013,,,,,,,,123.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/05/2013,,,,,,,,123.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/05/2013,,,,,,,,120.501,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2013,,,,,,,,122.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2013,,,,,,,,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2013,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2013,,,,,,,,125.748,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2013,,,,,,,,131.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2013,,,,,,,,130.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/05/2013,,,,,,,,134.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2013,,,,,,,,128.985,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2013,,,,,,,,129.179,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/2013,,,,,,,,132.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2013,,,,,,,,127.401,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/2013,,,,,,,,127.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2013,,,,,,,,129.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2013,,,,,,,,121.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2013,,,,,,,,121.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2013,,,,,,,,121.309,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2013,,,,,,,,121.714,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2013,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2013,,,,,,,,110.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2013,,,,,,,,108.401,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2013,,,,,,,,99.7497,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2013,,,,,,,,105.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2013,,,,,,,,108.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2013,,,,,,,,108.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/06/2013,,,,,,,,102.769,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/06/2013,,,,,,,,98.399,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2013,,,,,,,,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2013,,,,,,,,100.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/2013,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2013,,,,,,,,106.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2013,,,,,,,,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/06/2013,,,,,,,,110.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2013,,,,,,,,109.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2013,,,,,,,,107.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2013,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2013,,,,,,,,102.443,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2013,,,,,,,,103.691,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2013,,,,,,,,103.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2013,,,,,,,,99.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/06/2013,,,,,,,,93.3311,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2013,,,,,,,,95.3886,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2013,,,,,,,,97.504,,,,,,,,,,,,,,,,,,,,,,,,,,,
